Target,SQ,Cq
eASTR4,62500,22.44
eASTR4,62500,22.75
eASTR4,62500,22.37
eASTR4,62500,22.56
eASTR4,62500,22.29
eASTR4,62500,22.45
eASTR4,62500,22.51
eASTR4,62500,23.03
eASTR4,12500,24.84
eASTR4,12500,24.97
eASTR4,12500,24.8
eASTR4,12500,25.05
eASTR4,12500,24.79
eASTR4,12500,24.68
eASTR4,12500,24.65
eASTR4,12500,25.17
eASTR4,2500,27.08
eASTR4,2500,27.27
eASTR4,2500,27.16
eASTR4,2500,27.33
eASTR4,2500,27.16
eASTR4,2500,27.34
eASTR4,2500,27.17
eASTR4,2500,27.58
eASTR4,500,29.23
eASTR4,500,29.55
eASTR4,500,29.52
eASTR4,500,29.79
eASTR4,500,29.64
eASTR4,500,29.68
eASTR4,500,29.77
eASTR4,500,30.1
eASTR4,100,32.33
eASTR4,100,32.82
eASTR4,100,32.01
eASTR4,100,32.93
eASTR4,100,32.04
eASTR4,100,32.04
eASTR4,100,32.11
eASTR4,100,33.02
eASTR4,100,32.4
eASTR4,100,32.66
eASTR4,100,32.7
eASTR4,100,31.97
eASTR4,100,32.14
eASTR4,100,31.98
eASTR4,100,32.13
eASTR4,100,32.44
eASTR4,100,31.63
eASTR4,100,32.01
eASTR4,100,31.76
eASTR4,100,32.33
eASTR4,100,31.98
eASTR4,100,32.13
eASTR4,100,32.16
eASTR4,100,32.3
eASTR4,20,35.05
eASTR4,20,34.2
eASTR4,20,36.06
eASTR4,20,34.29
eASTR4,20,34.29
eASTR4,20,34.33
eASTR4,20,38.19
eASTR4,20,35.36
eASTR4,20,35.05
eASTR4,20,35.08
eASTR4,20,34.23
eASTR4,20,33.91
eASTR4,20,36.46
eASTR4,20,33.94
eASTR4,20,34.75
eASTR4,20,36.01
eASTR4,20,34.7
eASTR4,20,34.61
eASTR4,20,35.29
eASTR4,20,35.07
eASTR4,20,34.88
eASTR4,20,35.45
eASTR4,20,36.16
eASTR4,20,34.61
eASTR4,4,37.03
eASTR4,4,37.43
eASTR4,4,NA
eASTR4,4,37.12
eASTR4,4,37.24
eASTR4,4,37.62
eASTR4,4,36.52
eASTR4,4,NA
eASTR4,4,36.34
eASTR4,4,NA
eASTR4,4,37.42
eASTR4,4,36.94
eASTR4,4,NA
eASTR4,4,37.41
eASTR4,4,NA
eASTR4,4,36.83
eASTR4,4,36.04
eASTR4,4,35.78
eASTR4,4,36.84
eASTR4,4,37.51
eASTR4,4,36.52
eASTR4,4,36.29
eASTR4,4,36.62
eASTR4,4,38.33
eASTR4,0.8,36.59
eASTR4,0.8,36.86
eASTR4,0.8,37.3
eASTR4,0.8,37.68
eASTR4,0.8,38.2
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,36.78
eASTR4,0.8,NA
eASTR4,0.8,37.68
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,35.56
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.8,38.36
eASTR4,0.8,NA
eASTR4,0.8,NA
eASTR4,0.16,NA
eASTR4,0.16,37.98
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,38.39
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,37.31
eASTR4,0.16,NA
eASTR4,0.16,37.44
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.16,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASTR4,0.032,NA
eASMO9,62500,21.76
eASMO9,62500,22.04
eASMO9,62500,21.94
eASMO9,62500,22.08
eASMO9,62500,21.58
eASMO9,62500,22.01
eASMO9,62500,21.75
eASMO9,62500,22
eASMO9,12500,24.45
eASMO9,12500,24.3
eASMO9,12500,24.03
eASMO9,12500,24.31
eASMO9,12500,24.03
eASMO9,12500,24.2
eASMO9,12500,24.2
eASMO9,12500,24.34
eASMO9,2500,26.62
eASMO9,2500,26.8
eASMO9,2500,26.75
eASMO9,2500,27.02
eASMO9,2500,26.38
eASMO9,2500,26.73
eASMO9,2500,26.47
eASMO9,2500,26.8
eASMO9,500,29.13
eASMO9,500,29.1
eASMO9,500,29.19
eASMO9,500,29.44
eASMO9,500,29.08
eASMO9,500,29.26
eASMO9,500,29.17
eASMO9,500,29.99
eASMO9,100,31.61
eASMO9,100,31.97
eASMO9,100,31.5
eASMO9,100,31.89
eASMO9,100,31.25
eASMO9,100,31.33
eASMO9,100,31.27
eASMO9,100,31.83
eASMO9,100,31.69
eASMO9,100,32.29
eASMO9,100,32.19
eASMO9,100,32.24
eASMO9,100,32.04
eASMO9,100,32.47
eASMO9,100,32.34
eASMO9,100,32.41
eASMO9,100,32.42
eASMO9,100,32.39
eASMO9,100,32
eASMO9,100,31.97
eASMO9,100,32.04
eASMO9,100,32.2
eASMO9,100,32.3
eASMO9,100,32.36
eASMO9,20,34.41
eASMO9,20,33.42
eASMO9,20,33.9
eASMO9,20,33.63
eASMO9,20,34.63
eASMO9,20,34.09
eASMO9,20,34.47
eASMO9,20,34.59
eASMO9,20,34.68
eASMO9,20,35.07
eASMO9,20,35.22
eASMO9,20,34.81
eASMO9,20,34.21
eASMO9,20,34.52
