Sort Code,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Adjusted Ct  (N/A=50),Transformed Ct (50.001-Ct),Score,Frequency,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
1,"1 Fish, Tank 19",1,01.19.1,114,072418JMR3G,E04,15.6,1, 4/4,072518JMR4H,A04,32.58,32.58,17.42,1,8/8,16.41,0.51,114,Primer Set,qPCR run,Well,Positive Control Ct,,Primer Set,qPCR run,Well,Negative Control Ct,Score,Detection Frequency,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,072418JMR3G,F04,15.74,1,,072518JMR4H,B04,33.45,33.45,16.55,1,,,,114,ePlant5,072418JMR1F,A12,23.88,,ePlant5,072418JMR1F,A11,34.45,0,0/8,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,072418JMR3G,G04,16.06,1,,072518JMR4H,C04,33.46,33.46,16.54,1,,,,114,ePlant5,072418JMR1F,B12,23.53,,ePlant5,072418JMR1F,B11,34.39,0,,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,072418JMR3G,H04,16.34,1,,072518JMR4H,D04,34.57,34.57,15.43,1,,,,114,ePlant5,072418JMR1G,A12,23.64,,ePlant5,072418JMR1F,C11,35.15,0,,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,,,,,,072518JMR4H,E04,33.58,33.58,16.42,1,,,,114,ePlant5,072418JMR1G,B12,23.67,,ePlant5,072418JMR1F,D11,34.34,0,,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,,,,,,072518JMR4H,F04,33.6,33.6,16.40,1,,,,114,ePlant5,072418JMR2F,A12,23.9,,ePlant5,072418JMR1F,E11,35.02,0,,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,,,,,,072518JMR4H,G04,33.91,33.91,16.09,1,,,,114,ePlant5,072418JMR2F,B12,23.81,,ePlant5,072418JMR1F,F11,34.49,0,,,,,,,,,1
1,"1 Fish, Tank 19",1,01.19.1,,,,,,,072518JMR4H,H04,33.61,33.61,16.39,1,,,,114,ePlant5,072418JMR2G,A12,23.95,,ePlant5,072418JMR1F,G11,33.55,0,,,,,,,,,1
2,"1 Fish, Tank 19",2,01.19.2,30,072418JMR1G,A10,16.13,1, 4/4,072518JMR1H,A10,34.31,34.31,15.69,1,8/8,15.49,0.62,30,ePlant5,072418JMR2G,B12,24.04,,ePlant5,072418JMR1F,H11,35.09,0,,,,,,,,,2
2,"1 Fish, Tank 19",2,01.19.2,,072418JMR1G,B10,16.47,1,,072518JMR1H,B10,35,35,15.00,1,,,,30,ePlant5,072418JMR3F,A12,23.44,,ePlant5,072418JMR1G,A11,34.33,0,0/8,,,,,,,,2
2,"1 Fish, Tank 19",2,01.19.2,,072418JMR1G,C10,16.38,1,,072518JMR1H,C10,34.17,34.17,15.83,1,,,,30,ePlant5,072418JMR3F,B12,23.3,,ePlant5,072418JMR1G,B11,34.56,0,,,,,,,,,2
