ID,Project,SITE.SAMPLE.YEAR,SITE.SAMPLE.YEAR.WELL,SITE,Stream.Code,Reach,Reach.number,Site.number,Sample,Year,Technical.Replicate,Date,Arrival.Time,Weather.Ceiling,Weather.Precipitation,Water.Temperature.C,pH,Turbidity.NTU.,Habitat.Type,Stream.Width.m,Site.Length.m,Site.Width.m,Site.Area.m2,Wetted.Width.m,Transect.Depth.m,Transect.Flow.cms,Field.Gradient.percent,EF.Conductivity.uS.cm,eDNA.Sampling.Location,eDNA.Water.Sampling.Depth.cm,eDNA.Total.Water.Depth.m,eDNA.Distance.from.Shore.m,eDNA.Filtering.Location,eDNA.Filter.Pore.Size.um,eDNA.Filters.Preserved.In,eDNA.Sample.Collection.Start.Time,eDNA.Sample.Collection.End.Time,eDNA.Volume.Filtered.L,Fish.Total.Biomass.g,Fish.Biomass.g.m2,Fish.Abundance,Fish.Abundance.fish.m2,Fish.Avg.Length.mm,Fish.Avg.Mass.g,CO.Total.Biomass.g,CO.Biomass.g.m2,CO.Abundance,CO.Abundance.fish.m2,CO.Avg.Length.mm,CO.Avg.Mass.g,CT.Total.Biomass.g,CT.Biomass.g.m2,CT.Abundance,CT.Abundance.fish.m2,CT.Avg.Length.mm,CT.Avg.Mass.g,RB.Total.Biomass.g,RB.Biomass.g.m2,RB.Abundance,RB.Abundance.fish.m2,RB.Avg.Length.mm,RB.Avg.Mass.g,River.Year,SITE,Sort.Code,Sample.replicate,Lab.Code,DPN,qPCR.Run.int,Well.int,DNA.int,Transformed.int,Score.int,qPCR.Run.ef,Well.ef,DNA.ef,Transformed.ef,Score.ef,Lab.Call.ef,qPCR.Run.cl,Well.cl,DNA.cl,Transformed.cl,Score.cl,Lab.Call.cl,qPCR.Run.ki,Well.ki,DNA.ki,Transformed.ki,Score.ki,Lab.Call.ki,qPCR.Run.my,Well.my,DNA.my,Transformed.my,Score.my,Lab.Call.my,Spacer
1,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-A08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,1,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,031319LCB2F,A08,20.57,29.431,1,031419LCB1F,A08,32.4,17.601,1,Y,040519LCB1G,A08,44.44,5.561,1,Y,031419LCB1G,A08,50,0.001,0,N,031419LCB1H,A08,48,2.001,1,Y,8
2,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-B08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,2,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,031319LCB2F,B08,20.34,29.661,1,031419LCB1F,B08,32.36,17.641,1,Y,040519LCB1G,B08,41.98,8.021,1,Y,031419LCB1G,B08,50,0.001,0,N,031419LCB1H,B08,44.5,5.501,1,Y,8
3,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-C08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,3,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,031319LCB2F,C08,20.24,29.761,1,031419LCB1F,C08,32.3,17.701,1,Y,040519LCB1G,C08,46.35,3.651,1,Y,031419LCB1G,C08,50,0.001,0,N,031419LCB1H,C08,43,7.001,1,Y,8
4,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-D08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,4,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,031319LCB2F,D08,20.44,29.561,1,031419LCB1F,D08,33.06,16.941,1,Y,040519LCB1G,D08,50,0.001,0,Y,031419LCB1G,D08,50,0.001,0,N,031419LCB1H,D08,49.4,0.601,1,Y,8
5,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-E08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,5,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,NA,NA,NA,NA,NA,031419LCB1F,E08,32.22,17.781,1,Y,040519LCB1G,E08,41.93,8.071,1,Y,031419LCB1G,E08,50,0.001,0,N,031419LCB1H,E08,42.75,7.251,1,Y,8
6,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-F08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,6,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,NA,NA,NA,NA,NA,031419LCB1F,F08,32.36,17.641,1,Y,040519LCB1G,F08,45.32,4.681,1,Y,031419LCB1G,F08,50,0.001,0,N,031419LCB1H,F08,48.21,1.791,1,Y,8
7,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-G08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,7,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,NA,NA,NA,NA,NA,031419LCB1F,G08,33.17,16.831,1,Y,040519LCB1G,G08,45.2,4.801,1,Y,031419LCB1G,G08,50,0.001,0,N,031419LCB1H,G08,43.12,6.881,1,Y,8
8,Ecofish Salmonids,AAA-DVeDNA01-A-2017,AAA-DVeDNA01-A-2017-H08,AAA-DVeDNA01,AAA,Diversion,1,1,A,2017,8,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:00:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,1,A,DV01,8,NA,NA,NA,NA,NA,031419LCB1F,H08,33.59,16.411,1,Y,040519LCB1G,H08,50,0.001,0,Y,031419LCB1G,H08,50,0.001,0,N,031419LCB1H,H08,42.56,7.441,1,Y,8
9,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-A03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,1,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,031319LCB2F,A03,20.08,29.921,1,031419LCB1F,A03,31.49,18.511,1,Y,040519LCB1G,A03,46.45,3.551,1,Y,031419LCB1G,A03,50,0.001,0,N,031419LCB1H,A03,43.74,6.261,1,Y,3
10,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-B03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,2,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,031319LCB2F,B03,20.06,29.941,1,031419LCB1F,B03,31.83,18.171,1,Y,040519LCB1G,B03,50,0.001,0,Y,031419LCB1G,B03,50,0.001,0,N,031419LCB1H,B03,42.89,7.111,1,Y,3
